,seconds_elapsed,bpm
577,11.45138,96.846000953125
578,11.46138,96.844000953125
579,11.47138,96.842000953125
580,11.48138,96.840000953125
581,11.49138,96.838000953125
582,11.50138,96.836000953125
583,11.51138,96.834000953125
584,11.52138,96.832000953125
585,11.53138,96.830000953125
586,11.54138,96.828000953125
587,11.55138,96.826000953125
588,11.56138,96.824000953125
589,11.57138,96.822000953125
590,11.58138,96.820000953125
591,11.59138,96.818000953125
592,11.60138,96.816000953125
593,11.61138,96.814000953125
594,11.62138,96.812000953125
595,11.63138,96.810000953125
596,11.64138,96.808000953125
597,11.65138,96.806000953125
598,11.66138,96.804000953125
599,11.67138,96.802000953125
600,11.68138,96.800000953125
601,11.69138,96.798000953125
602,11.70138,96.796000953125
603,11.71138,96.79400095312499
604,11.72138,96.792000953125
605,11.73138,96.790000953125
606,11.74138,96.788000953125
607,11.75138,96.786000953125
608,11.76138,96.784000953125
609,11.77138,96.782000953125
610,11.78138,96.780000953125
611,11.79138,96.778000953125
612,11.80138,96.776000953125
613,11.81138,96.774000953125
614,11.82138,96.772000953125
615,11.83138,96.770000953125
616,11.84138,96.768000953125
617,11.85138,96.766000953125
618,11.86138,96.764000953125
619,11.87138,96.762000953125
620,11.88138,96.760000953125
621,11.89138,96.758000953125
622,11.90138,96.756000953125
623,11.91138,96.754000953125
624,11.92138,96.752000953125
625,11.93138,96.750000953125
626,11.94138,96.748000953125
627,11.95138,96.746000953125
628,11.96138,96.744000953125
629,11.97138,96.742000953125
630,11.98138,96.740000953125
631,11.99138,96.738000953125
632,12.00138,96.736000953125
633,12.01138,96.734000953125
634,12.02138,96.732000953125
635,12.03138,96.730000953125
636,12.04138,96.728000953125
637,12.05138,96.726000953125
638,12.06138,96.724000953125
639,12.07138,96.722000953125
640,12.08138,96.720000953125
641,12.09138,96.718000953125
642,12.10138,96.716000953125
643,12.11138,96.714000953125
644,12.12138,96.712000953125
645,12.13138,96.710000953125
646,12.14138,96.708000953125
647,12.15138,96.706000953125
648,12.16138,96.704000953125
649,12.17138,96.702000953125
650,12.18138,96.700000953125
651,12.19138,96.698000953125
652,12.20138,96.696000953125
653,12.21138,96.694000953125
654,12.22138,96.692000953125
655,12.23138,96.690000953125
656,12.24138,96.688000953125
657,12.25138,96.686000953125
658,12.26138,96.684000953125
659,12.27138,96.682000953125
660,12.28138,96.680000953125
661,12.29138,96.678000953125
662,12.30138,96.676000953125
663,12.31138,96.674000953125
664,12.32138,96.672000953125
665,12.33138,96.670000953125
666,12.34138,96.668000953125
667,12.35138,96.666000953125
668,12.36138,96.664000953125
669,12.37138,96.662000953125
670,12.38138,96.660000953125
671,12.39138,96.658000953125
672,12.40138,96.656000953125
673,12.41138,96.654000953125
674,12.42138,96.652000953125
675,12.43138,96.650000953125
676,12.44138,96.648000953125
677,12.45138,96.646000953125
678,12.46138,96.644000953125
679,12.47138,96.642000953125
680,12.48138,96.640000953125
681,12.49138,96.638000953125
682,12.50138,96.636000953125
683,12.51138,96.634000953125
684,12.52138,96.632000953125
685,12.53138,96.630000953125
686,12.54138,96.628000953125
687,12.55138,96.626000953125
688,12.56138,96.624000953125
689,12.57138,96.622000953125
690,12.58138,96.620000953125
691,12.59138,96.618000953125
692,12.60138,96.616000953125
693,12.61138,96.614000953125
694,12.62138,96.612000953125
695,12.63138,96.610000953125
696,12.64138,96.608000953125
697,12.65138,96.606000953125
698,12.66138,96.604000953125
699,12.67138,96.602000953125
700,12.68138,96.600000953125
701,12.69138,96.598000953125
702,12.70138,96.596000953125
703,12.71138,96.594000953125
704,12.72138,96.592000953125
705,12.73138,96.590000953125
706,12.74138,96.588000953125
707,12.75138,96.586000953125
708,12.76138,96.584000953125
709,12.77138,96.582000953125
710,12.78138,96.580000953125
711,12.79138,96.578000953125
712,12.80138,96.576000953125
713,12.81138,96.574000953125
714,12.82138,96.572000953125
715,12.83138,96.570000953125
716,12.84138,96.568000953125
717,12.85138,96.566000953125
718,12.86138,96.564000953125
719,12.87138,96.562000953125
720,12.88138,96.560000953125
721,12.89138,96.558000953125
722,12.90138,96.556000953125
723,12.91138,96.554000953125
724,12.92138,96.552000953125
725,12.93138,96.550000953125
726,12.94138,96.548000953125
727,12.95138,96.546000953125
728,12.96138,96.54400095312499
729,12.97138,96.542000953125
730,12.98138,96.540000953125
731,12.99138,96.538000953125
732,13.00138,96.536000953125
733,13.01138,96.534000953125
734,13.02138,96.532000953125
735,13.03138,96.530000953125
736,13.04138,96.528000953125
737,13.05138,96.526000953125
738,13.06138,96.524000953125
739,13.07138,96.522000953125
740,13.08138,96.520000953125
741,13.09138,96.518000953125
742,13.10138,96.516000953125
743,13.11138,96.514000953125
744,13.12138,96.512000953125
745,13.13138,96.510000953125
746,13.14138,96.508000953125
747,13.15138,96.506000953125
748,13.16138,96.504000953125
749,13.17138,96.502000953125
750,13.18138,96.500000953125
751,13.19138,96.498000953125
752,13.20138,96.496000953125
753,13.21138,96.494000953125
754,13.22138,96.492000953125
755,13.23138,96.490000953125
756,13.24138,96.488000953125
757,13.25138,96.486000953125
758,13.26138,96.484000953125
759,13.27138,96.482000953125
760,13.28138,96.480000953125
761,13.29138,96.478000953125
762,13.30138,96.476000953125
763,13.31138,96.474000953125
764,13.32138,96.472000953125
765,13.33138,96.470000953125
766,13.34138,96.468000953125
767,13.35138,96.466000953125
768,13.36138,96.464000953125
769,13.37138,96.462000953125
770,13.38138,96.460000953125
771,13.39138,96.458000953125
772,13.40138,96.456000953125
773,13.41138,96.454000953125
774,13.42138,96.452000953125
775,13.43138,96.450000953125
776,13.44138,96.448000953125
777,13.45138,96.446000953125
778,13.46138,96.444000953125
779,13.47138,96.442000953125
780,13.48138,96.440000953125
781,13.49138,96.438000953125
782,13.50138,96.436000953125
783,13.51138,96.434000953125
784,13.52138,96.432000953125
785,13.53138,96.430000953125
786,13.54138,96.428000953125
787,13.55138,96.426000953125
788,13.56138,96.424000953125
789,13.57138,96.422000953125
790,13.58138,96.420000953125
791,13.59138,96.418000953125
792,13.60138,96.416000953125
793,13.61138,96.414000953125
794,13.62138,96.412000953125
795,13.63138,96.410000953125
796,13.64138,96.408000953125
797,13.65138,96.406000953125
798,13.66138,96.404000953125
799,13.67138,96.402000953125
800,13.68138,96.400000953125
801,13.69138,96.398000953125
802,13.70138,96.396000953125
803,13.71138,96.394000953125
804,13.72138,96.392000953125
805,13.73138,96.390000953125
806,13.74138,96.388000953125
807,13.75138,96.386000953125
808,13.76138,96.384000953125
809,13.77138,96.382000953125
810,13.78138,96.380000953125
811,13.79138,96.378000953125
812,13.80138,96.376000953125
813,13.81138,96.374000953125
814,13.82138,96.372000953125
815,13.83138,96.370000953125
816,13.84138,96.368000953125
817,13.85138,96.366000953125
818,13.86138,96.364000953125
819,13.87138,96.362000953125
820,13.88138,96.360000953125
821,13.89138,96.358000953125
822,13.90138,96.356000953125
823,13.91138,96.354000953125
824,13.92138,96.352000953125
825,13.93138,96.350000953125
826,13.94138,96.348000953125
827,13.95138,96.346000953125
828,13.96138,96.344000953125
829,13.97138,96.342000953125
830,13.98138,96.340000953125
831,13.99138,96.338000953125
832,14.00138,96.336000953125
833,14.01138,96.334000953125
834,14.02138,96.332000953125
835,14.03138,96.330000953125
836,14.04138,96.328000953125
837,14.05138,96.326000953125
838,14.06138,96.324000953125
839,14.07138,96.322000953125
840,14.08138,96.320000953125
841,14.09138,96.318000953125
842,14.10138,96.316000953125
843,14.11138,96.314000953125
844,14.12138,96.312000953125
845,14.13138,96.310000953125
846,14.14138,96.308000953125
847,14.15138,96.306000953125
848,14.16138,96.304000953125
849,14.17138,96.302000953125
850,14.18138,96.300000953125
851,14.19138,96.298000953125
852,14.20138,96.296000953125
853,14.21138,96.29400095312499
854,14.22138,96.292000953125
855,14.23138,96.290000953125
856,14.24138,96.288000953125
857,14.25138,96.286000953125
858,14.26138,96.284000953125
859,14.27138,96.282000953125
860,14.28138,96.280000953125
861,14.29138,96.278000953125
862,14.30138,96.276000953125
863,14.31138,96.274000953125
864,14.32138,96.272000953125
865,14.33138,96.270000953125
866,14.34138,96.268000953125
867,14.35138,96.266000953125
868,14.36138,96.264000953125
869,14.37138,96.262000953125
870,14.38138,96.260000953125
871,14.39138,96.258000953125
872,14.40138,96.256000953125
873,14.41138,96.254000953125
874,14.42138,96.252000953125
875,14.43138,96.250000953125
876,14.44138,96.248000953125
877,14.45138,96.246000953125
878,14.46138,96.244000953125
879,14.47138,96.242000953125
880,14.48138,96.240000953125
881,14.49138,96.238000953125
882,14.50138,96.236000953125
883,14.51138,96.234000953125
884,14.52138,96.232000953125
885,14.53138,96.230000953125
886,14.54138,96.228000953125
887,14.55138,96.226000953125
888,14.56138,96.224000953125
889,14.57138,96.222000953125
890,14.58138,96.220000953125
891,14.59138,96.218000953125
892,14.60138,96.216000953125
893,14.61138,96.214000953125
894,14.62138,96.212000953125
895,14.63138,96.210000953125
896,14.64138,96.208000953125
897,14.65138,96.206000953125
898,14.66138,96.204000953125
899,14.67138,96.202000953125
900,14.68138,96.200000953125
901,14.69138,96.198000953125
902,14.70138,96.196000953125
903,14.71138,96.194000953125
904,14.72138,96.192000953125
905,14.73138,96.190000953125
906,14.74138,96.188000953125
907,14.75138,96.186000953125
908,14.76138,96.184000953125
909,14.77138,96.182000953125
910,14.78138,96.180000953125
911,14.79138,96.178000953125
912,14.80138,96.176000953125
913,14.81138,96.174000953125
914,14.82138,96.172000953125
915,14.83138,96.170000953125
916,14.84138,96.168000953125
917,14.85138,96.166000953125
918,14.86138,96.164000953125
919,14.87138,96.162000953125
920,14.88138,96.160000953125
921,14.89138,96.158000953125
922,14.90138,96.156000953125
923,14.91138,96.154000953125
924,14.92138,96.152000953125
925,14.93138,96.150000953125
926,14.94138,96.148000953125
927,14.95138,96.146000953125
928,14.96138,96.144000953125
929,14.97138,96.142000953125
930,14.98138,96.140000953125
931,14.99138,96.138000953125
932,15.00138,96.136000953125
933,15.01138,96.134000953125
934,15.02138,96.132000953125
935,15.03138,96.130000953125
936,15.04138,96.128000953125
937,15.05138,96.126000953125
938,15.06138,96.124000953125
939,15.07138,96.122000953125
940,15.08138,96.120000953125
941,15.09138,96.118000953125
942,15.10138,96.116000953125
943,15.11138,96.114000953125
944,15.12138,96.112000953125
945,15.13138,96.110000953125
946,15.14138,96.108000953125
947,15.15138,96.106000953125
948,15.16138,96.104000953125
949,15.17138,96.102000953125
950,15.18138,96.100000953125
951,15.19138,96.098000953125
952,15.20138,96.096000953125
953,15.21138,96.094000953125
